,epoch,loss,valid_precision,valid_recall,valid_fscore,time
0,1.000,51.525,0.525,0.099,0.166,1151.983
1,2.000,41.489,0.377,0.100,0.158,1178.236
2,3.000,39.442,0.394,0.100,0.159,1156.156
3,4.000,38.414,0.381,0.101,0.159,1184.871
4,5.000,37.252,0.393,0.102,0.161,1193.160
5,6.000,36.402,0.395,0.102,0.162,1200.937
6,7.000,35.831,0.386,0.103,0.162,1201.532
7,8.000,35.039,0.391,0.103,0.163,1192.359
8,9.000,34.558,0.372,0.104,0.162,1201.216
9,10.000,34.010,0.370,0.104,0.162,1208.923
10,11.000,33.662,0.329,0.105,0.159,1192.280
11,12.000,33.359,0.376,0.105,0.164,1192.579
12,13.000,32.773,0.365,0.106,0.164,1197.109
13,14.000,32.629,0.325,0.108,0.163,1201.148
14,15.000,32.472,0.364,0.107,0.166,1205.582
15,16.000,32.001,0.386,0.107,0.168,1211.149
16,17.000,31.505,0.332,0.113,0.169,1213.440
17,18.000,31.571,0.412,0.107,0.170,1178.035
18,19.000,31.243,0.344,0.114,0.171,1195.535
19,20.000,30.800,0.352,0.115,0.174,1193.706
20,21.000,30.474,0.381,0.112,0.174,1197.074
21,22.000,30.245,0.404,0.112,0.175,1204.428
22,23.000,30.125,0.381,0.115,0.177,1211.168
23,24.000,29.633,0.370,0.114,0.174,1213.175
24,25.000,29.871,0.367,0.116,0.177,1198.629
25,26.000,29.092,0.355,0.124,0.183,1221.732
26,27.000,29.051,0.372,0.121,0.182,1218.001
27,28.000,28.948,0.360,0.121,0.181,1209.796
28,29.000,28.869,0.327,0.135,0.191,1209.917
29,30.000,28.479,0.357,0.122,0.182,1205.730
30,31.000,28.269,0.352,0.129,0.189,1204.922
31,32.000,28.125,0.341,0.132,0.190,1205.715
32,33.000,27.908,0.299,0.147,0.197,1206.794
33,34.000,27.683,0.322,0.146,0.201,1205.489
34,35.000,27.688,0.346,0.136,0.195,1194.468
35,36.000,27.129,0.355,0.136,0.197,1195.820
36,37.000,27.091,0.392,0.131,0.196,1203.443
37,38.000,26.888,0.340,0.154,0.212,1197.905
38,39.000,26.548,0.382,0.128,0.192,1210.194
39,40.000,26.572,0.360,0.152,0.214,1197.637
40,41.000,26.207,0.342,0.160,0.218,1212.724
41,42.000,26.141,0.367,0.145,0.208,1196.984
42,43.000,25.786,0.322,0.155,0.209,1194.052
43,44.000,25.534,0.390,0.156,0.223,1203.100
44,45.000,25.301,0.378,0.174,0.238,1197.592
45,46.000,25.108,0.316,0.183,0.232,1202.896
46,47.000,24.951,0.376,0.152,0.216,1194.180
47,48.000,24.754,0.355,0.233,0.281,1207.281
48,49.000,24.660,0.365,0.199,0.258,1195.529
49,50.000,24.232,0.254,0.325,0.285,1205.357
